sid	stype	description	context	celltype	controlsra	treatmentsra	date	missingtreatmentsra	missingcontrolsra	category	platform	accession	species	ptype	drug	gene
11	CD	Background: In humans, cleft palate (CP) accounts for one of the largest number of birth defects with a complex genetic and environmental etiology. TGFβ3 has been established as an important regulator of palatal fusion in mice and it has been shown that TGFβ3-null mice exhibit CP without any other major deformities. However, the genes that regulate cellular decisions and molecular mechanisms maintained by the TGFβ3 pathway throughout palatogenesis are predominantly unexplored. Our objective in this study was to analyze global transcriptome changes within the palate during different gestational ages within TGFβ3 knockout mice to identify TGFβ3-associated genes previously unknown to be associated with the development of cleft palate. We used deep sequencing technology, RNA-Seq, to analyze the transcriptome of TGFβ3 knockout mice at crucial stages of palatogenesis, including palatal growth (E14.5), adhesion (E15.5), and fusion (E16.5). Results: The overall transcriptome analysis of TGFβ3 wildtype mice (C57BL/6) reveals that almost 6000 genes were upregulated during the transition from E14.5 to E15.5 and more than 2000 were downregulated from E15.5 to E16.5. Using bioinformatics tools and databases, we identified the most comprehensive list of CP genes (n = 322) in which mutations cause CP either in humans or mice, and analyzed their expression patterns. The expression motifs of CP genes between TGFβ3+/− and TGFβ3−/− were not significantly different from each other, and the expression of the majority of CP genes remained unchanged from E14.5 to E16.5. Using these patterns, we identified 8 unique genes within TGFβ3−/− mice (Chrng Foxc2, H19, Kcnj13, Lhx8, Meox2, Shh, and Six3), which may function as the primary contributors to the development of cleft palate in TGFβ3−/− mice. When the significantly altered CP genes were overlaid with TGFβ signaling, all of these genes followed the Smad-dependent pathway. Conclusions: Our study represents the first analysis of the palatal transcriptome of the mouse, as well as TGFβ3 knockout mice, using deep sequencing methods. In this study, we characterized the critical regulation of palatal transcripts that may play key regulatory roles through crucial stages of palatal development. We identified potential causative CP genes in a TGFβ3 knockout model, which may lead to a better understanding of the genetic mechanisms of palatogenesis and provide novel potential targets for gene therapy approaches to treat cleft palate.	gene	Palatal shelves E15.5	GSM1109839,GSM1109840,GSM1109841,GSM1109842	GSM1109831,GSM1109832,GSM1109833,GSM1109834	2017-01-04 00:12:11			gene	GPL13112	GSE45568	Mus musculus	knockout		TGFB3
12	CD	Background: In humans, cleft palate (CP) accounts for one of the largest number of birth defects with a complex genetic and environmental etiology. TGFβ3 has been established as an important regulator of palatal fusion in mice and it has been shown that TGFβ3-null mice exhibit CP without any other major deformities. However, the genes that regulate cellular decisions and molecular mechanisms maintained by the TGFβ3 pathway throughout palatogenesis are predominantly unexplored. Our objective in this study was to analyze global transcriptome changes within the palate during different gestational ages within TGFβ3 knockout mice to identify TGFβ3-associated genes previously unknown to be associated with the development of cleft palate. We used deep sequencing technology, RNA-Seq, to analyze the transcriptome of TGFβ3 knockout mice at crucial stages of palatogenesis, including palatal growth (E14.5), adhesion (E15.5), and fusion (E16.5). Results: The overall transcriptome analysis of TGFβ3 wildtype mice (C57BL/6) reveals that almost 6000 genes were upregulated during the transition from E14.5 to E15.5 and more than 2000 were downregulated from E15.5 to E16.5. Using bioinformatics tools and databases, we identified the most comprehensive list of CP genes (n = 322) in which mutations cause CP either in humans or mice, and analyzed their expression patterns. The expression motifs of CP genes between TGFβ3+/− and TGFβ3−/− were not significantly different from each other, and the expression of the majority of CP genes remained unchanged from E14.5 to E16.5. Using these patterns, we identified 8 unique genes within TGFβ3−/− mice (Chrng Foxc2, H19, Kcnj13, Lhx8, Meox2, Shh, and Six3), which may function as the primary contributors to the development of cleft palate in TGFβ3−/− mice. When the significantly altered CP genes were overlaid with TGFβ signaling, all of these genes followed the Smad-dependent pathway. Conclusions: Our study represents the first analysis of the palatal transcriptome of the mouse, as well as TGFβ3 knockout mice, using deep sequencing methods. In this study, we characterized the critical regulation of palatal transcripts that may play key regulatory roles through crucial stages of palatal development. We identified potential causative CP genes in a TGFβ3 knockout model, which may lead to a better understanding of the genetic mechanisms of palatogenesis and provide novel potential targets for gene therapy approaches to treat cleft palate.	gene	Palatal shelves E16.5	GSM1109851,GSM1109852,GSM1109853,GSM1109854	GSM1109843,GSM1109844,GSM1109845,GSM1109846	2017-01-04 00:12:17			gene	GPL13112	GSE45568	Mus musculus	knockout		TGFB3
13	CD	Background: In humans, cleft palate (CP) accounts for one of the largest number of birth defects with a complex genetic and environmental etiology. TGFβ3 has been established as an important regulator of palatal fusion in mice and it has been shown that TGFβ3-null mice exhibit CP without any other major deformities. However, the genes that regulate cellular decisions and molecular mechanisms maintained by the TGFβ3 pathway throughout palatogenesis are predominantly unexplored. Our objective in this study was to analyze global transcriptome changes within the palate during different gestational ages within TGFβ3 knockout mice to identify TGFβ3-associated genes previously unknown to be associated with the development of cleft palate. We used deep sequencing technology, RNA-Seq, to analyze the transcriptome of TGFβ3 knockout mice at crucial stages of palatogenesis, including palatal growth (E14.5), adhesion (E15.5), and fusion (E16.5). Results: The overall transcriptome analysis of TGFβ3 wildtype mice (C57BL/6) reveals that almost 6000 genes were upregulated during the transition from E14.5 to E15.5 and more than 2000 were downregulated from E15.5 to E16.5. Using bioinformatics tools and databases, we identified the most comprehensive list of CP genes (n = 322) in which mutations cause CP either in humans or mice, and analyzed their expression patterns. The expression motifs of CP genes between TGFβ3+/− and TGFβ3−/− were not significantly different from each other, and the expression of the majority of CP genes remained unchanged from E14.5 to E16.5. Using these patterns, we identified 8 unique genes within TGFβ3−/− mice (Chrng Foxc2, H19, Kcnj13, Lhx8, Meox2, Shh, and Six3), which may function as the primary contributors to the development of cleft palate in TGFβ3−/− mice. When the significantly altered CP genes were overlaid with TGFβ signaling, all of these genes followed the Smad-dependent pathway. Conclusions: Our study represents the first analysis of the palatal transcriptome of the mouse, as well as TGFβ3 knockout mice, using deep sequencing methods. In this study, we characterized the critical regulation of palatal transcripts that may play key regulatory roles through crucial stages of palatal development. We identified potential causative CP genes in a TGFβ3 knockout model, which may lead to a better understanding of the genetic mechanisms of palatogenesis and provide novel potential targets for gene therapy approaches to treat cleft palate.	gene	Palatal shelves E14.5	GSM1109827,GSM1109828,GSM1109829,GSM1109830	GSM1109823,GSM1109824,GSM1109825,GSM1109826	2017-01-04 00:12:22			gene	GPL13112	GSE45568	Mus musculus	+/-'		TGFB3
14	CD	Background: In humans, cleft palate (CP) accounts for one of the largest number of birth defects with a complex genetic and environmental etiology. TGFβ3 has been established as an important regulator of palatal fusion in mice and it has been shown that TGFβ3-null mice exhibit CP without any other major deformities. However, the genes that regulate cellular decisions and molecular mechanisms maintained by the TGFβ3 pathway throughout palatogenesis are predominantly unexplored. Our objective in this study was to analyze global transcriptome changes within the palate during different gestational ages within TGFβ3 knockout mice to identify TGFβ3-associated genes previously unknown to be associated with the development of cleft palate. We used deep sequencing technology, RNA-Seq, to analyze the transcriptome of TGFβ3 knockout mice at crucial stages of palatogenesis, including palatal growth (E14.5), adhesion (E15.5), and fusion (E16.5). Results: The overall transcriptome analysis of TGFβ3 wildtype mice (C57BL/6) reveals that almost 6000 genes were upregulated during the transition from E14.5 to E15.5 and more than 2000 were downregulated from E15.5 to E16.5. Using bioinformatics tools and databases, we identified the most comprehensive list of CP genes (n = 322) in which mutations cause CP either in humans or mice, and analyzed their expression patterns. The expression motifs of CP genes between TGFβ3+/− and TGFβ3−/− were not significantly different from each other, and the expression of the majority of CP genes remained unchanged from E14.5 to E16.5. Using these patterns, we identified 8 unique genes within TGFβ3−/− mice (Chrng Foxc2, H19, Kcnj13, Lhx8, Meox2, Shh, and Six3), which may function as the primary contributors to the development of cleft palate in TGFβ3−/− mice. When the significantly altered CP genes were overlaid with TGFβ signaling, all of these genes followed the Smad-dependent pathway. Conclusions: Our study represents the first analysis of the palatal transcriptome of the mouse, as well as TGFβ3 knockout mice, using deep sequencing methods. In this study, we characterized the critical regulation of palatal transcripts that may play key regulatory roles through crucial stages of palatal development. We identified potential causative CP genes in a TGFβ3 knockout model, which may lead to a better understanding of the genetic mechanisms of palatogenesis and provide novel potential targets for gene therapy approaches to treat cleft palate.	gene	Palatal shelves E15.5	GSM1109839,GSM1109840,GSM1109841,GSM1109842	GSM1109835,GSM1109836,GSM1109837,GSM1109838	2017-01-04 00:12:27			gene	GPL13112	GSE45568	Mus musculus	+/-'		TGFB3
15	CD	Background: In humans, cleft palate (CP) accounts for one of the largest number of birth defects with a complex genetic and environmental etiology. TGFβ3 has been established as an important regulator of palatal fusion in mice and it has been shown that TGFβ3-null mice exhibit CP without any other major deformities. However, the genes that regulate cellular decisions and molecular mechanisms maintained by the TGFβ3 pathway throughout palatogenesis are predominantly unexplored. Our objective in this study was to analyze global transcriptome changes within the palate during different gestational ages within TGFβ3 knockout mice to identify TGFβ3-associated genes previously unknown to be associated with the development of cleft palate. We used deep sequencing technology, RNA-Seq, to analyze the transcriptome of TGFβ3 knockout mice at crucial stages of palatogenesis, including palatal growth (E14.5), adhesion (E15.5), and fusion (E16.5). Results: The overall transcriptome analysis of TGFβ3 wildtype mice (C57BL/6) reveals that almost 6000 genes were upregulated during the transition from E14.5 to E15.5 and more than 2000 were downregulated from E15.5 to E16.5. Using bioinformatics tools and databases, we identified the most comprehensive list of CP genes (n = 322) in which mutations cause CP either in humans or mice, and analyzed their expression patterns. The expression motifs of CP genes between TGFβ3+/− and TGFβ3−/− were not significantly different from each other, and the expression of the majority of CP genes remained unchanged from E14.5 to E16.5. Using these patterns, we identified 8 unique genes within TGFβ3−/− mice (Chrng Foxc2, H19, Kcnj13, Lhx8, Meox2, Shh, and Six3), which may function as the primary contributors to the development of cleft palate in TGFβ3−/− mice. When the significantly altered CP genes were overlaid with TGFβ signaling, all of these genes followed the Smad-dependent pathway. Conclusions: Our study represents the first analysis of the palatal transcriptome of the mouse, as well as TGFβ3 knockout mice, using deep sequencing methods. In this study, we characterized the critical regulation of palatal transcripts that may play key regulatory roles through crucial stages of palatal development. We identified potential causative CP genes in a TGFβ3 knockout model, which may lead to a better understanding of the genetic mechanisms of palatogenesis and provide novel potential targets for gene therapy approaches to treat cleft palate.	gene	Palatal shelves E16.5	GSM1109851,GSM1109852,GSM1109853,GSM1109854	GSM1109847,GSM1109848,GSM1109849,GSM1109850	2017-01-04 00:12:31			gene	GPL13112	GSE45568	Mus musculus	+/-'		TGFB3
16	CD	Evaluation of X-linked gene expression in MEFs isolated from STC1 wild type and knock out mice X chromosome inactivation (XCI) is initiated in cis by the Xist RNA which coats the inactive X chromosome (Xi) from which it is produced. We performed a large-scale RNA interference screen to identify trans-acting XCI factors (XCIFs) that comprise regulators of cell signaling and transcription. We find that the XCIFs promote Xist expression and/or localization to the Xi. One of the XCIFs STC1 is a glycoprotein found in both the cytoplasm and nucleus and whose function is poorly understood. A homozygous mouse knockout of STC1 has a defect in XCI but surprisingly is phenotypically normal. We performed transcriptome profiling (RNA-Seq) experiments to determine whether the expression levels of X-encoded genes were elevated in Stc1-/- female MEFs. In these experiments RNA was prepared from three independent cultures of Stc1+/+ or Stc1-/- female MEFs. RNA samples were processed and amplified followed by deep sequencing. The similarity of X-linked gene expression between Stc1+/+ and Stc1-/- MEFs was statistically significant. The vast majority of autosomal genes were also expressed at comparable levels in Stc1+/+ and Stc1-/- MEFs.	gene	Embryonic fibroblasts	GSM1148746,GSM1148747,GSM1148748	GSM1148749,GSM1148750,GSM1148751	2017-01-04 00:12:36			gene	GPL13112	GSE47395	Mus musculus	Knockout		STC1
17	CD	The C2H2 zinc finger is the most prevalent DNA-binding motif in the mammalian proteome with DNA-binding domains usually containing more tandem fingers than are needed for stable sequence-specific DNA recognition. To examine the reason for the frequent presence of multiple zinc fingers we generated mice lacking finger 1 or finger 4 of the 4-finger DNA-binding domain of Ikaros a critical regulator of lymphopoiesis and leukemogenesis. Each mutant strain exhibited a specific subset of the phenotypes observed with Ikaros null mice. Of particular relevance fingers 1 and 4 contributed to distinct stages of B- and T-cell development and finger 4 was selectively required for tumor suppression in thymocytes and in a new model of BCR-ABL+ acute lymphoblastic leukemia. These results combined with transcriptome profiling (this GEO submission: RNA-Seg of whole thymus from wt and the two ZnF mutants) reveal that different subsets of fingers within multi-finger transcription factors can regulate distinct target genes and biological functions and they demonstrate that selective mutagenesis can facilitate efforts to elucidate the functions and mechanisms of action of this prevalent class of factors.	gene	Thymus	GSM1151188,GSM1151189	GSM1151190,GSM1151191	2017-01-04 00:12:39			gene	GPL13112	GSE47496	Mus musculus	Knockout		ZnF1
18	CD	We report here the deep sequencing of the mRNA from peritoneal exudate cells (macrophages) purified from wildtype or Ptpn1 (PTP1B) knockout mice either treated or untreated with IL-10. In periotenal macrophages IL-10 activates the transcription factor STAT3 to execute and anti-inflammatory gene expression programme. The tyrosine phosphatase PTPN1 targets STAT3 for dephosphorylation and leads to the deactivation of STAT3. In this study we examined the role of PTP1B in controlling the normal homeostatic level phosphorylation of STAT3 by comparing the IL-10/STAT3-mediated anti-inflammatory gene expression programme. We find that loss of PTP1B leads to an up-regulation of the activity of STAT3 both at the level of phosphorylation and also in enhanced expression of anti-inflammatory gene products.	gene	Macrophages	GSM1199324,GSM1199325	GSM1199328,GSM1199329	2017-01-04 00:12:42			gene	GPL13112	GSE49449	Mus musculus	Knockout		PTP1B
19	CD	G9a/GLP and Polycomb Repressive Complex 2 (PRC2) are two major epigenetic silencing machineries which in particular methylate histone H3 on lysines 9 and 27 (H3K9 and H3K27) respectively. Although evidence of a crosstalk between H3K9 and H3K27 methylations has started to emerge their actual interplay remains elusive. Here we show that PRC2 and G9a/GLP interact physically and functionally. Moreover combining different genome-wide approaches we demonstrate that Ezh2 and G9a/GLP share an important number of common genomic targets encoding developmental and neuronal regulators. Furthermore we show that G9a enzymatic activity modulates PRC2 genomic recruitment to a subset of its target genes. Taken together our findings demonstrate an unanticipated interplay between two main histone lysine methylation mechanisms which cooperate to maintain silencing of a subset of developmental genes.	gene	Embryonic stem cell	GSM1204719,GSM1204720,GSM1204721	GSM1204722,GSM1204723,GSM1204724	2017-01-04 00:12:46			gene	GPL13112	GSE49669	Mus musculus	Knockout		G9a
20	CD	We demonstrate that transcription factor IRF4 is induced in a T cell receptor (TCR) affinity-dependent manner and functions as a dose-dependent regulator of the metabolic function of activated T cells. IRF4 regulates the expression of key molecules required for aerobic glycolysis of effector T cells, and is essential for clonal expansion and maintenance of effector function of antigen-specific CD8+ T cells.	gene	CD8+ T cells	GSM1210214,GSM1210215,GSM1210216,GSM1210217	GSM1210218,GSM1210219,GSM1210220,GSM1210221,GSM1210222	2017-01-04 00:12:52			gene	GPL13112	GSE49929	Mus musculus	knockout		Irf4
21	CD	We report the application of RNA-sequencing technology for the high-throughput profiling of mammalian lens gene expression at embryonic day 15.5. The lens has a particularly biased transcriptome with the top 50 genes encoding approximately 90% of the protein content. Using RNA-Seq we have shown that there are over 7 700 genes being expressed in the lens at embryonic day 15.5. As expected the crystallins and many structural genes were amoung the most highly expressed; however numerous genes expressed at lower transcript abundance were also identified. This study provides a framework for the application of RNA-Seq technology towards characterization of the mammalian lens transcriptome during development. Using high-throughput RNA-sequencing gene expression in the mammalian lens was compared between an inbred C56Bl/6&lt;har&gt; strain and a mix background strain at E15.5. This analysis identifies almost 2 000 genes being differentially expressed between the inbred and mixed background lenses ranging from 6.5 fold upregulated to 5.2 fold downregulated in the mixed background compared to the inbred strain. This list does not include unknown/predicted genes or pseudogenes which are known to change between strains. Further it appears that approximately 98% of these genes are altered at levels less than 2.5 fold. This study therefore provides a fold change threshold cutoff (2.5 fold) to use in the analysis of differentially expressed lens genes at E15.5 using RNA-Seq technology as it takes into account genetic variation due to background strain differences. SIP1 encodes a DNA-binding transcription factor that regulates multiple developmental processes as highlighted by the pleiotropic defects observed in Mowat-Wilson Syndrome which results from mutations in this gene. Further in adults dysregulated SIP1 expression has been implicated in both cancer and fibrotic diseases where it functionally links TGFb signaling to the loss of epithelial preferred gene expression. In the ocular lens an epithelial tissue important for vision Sip1 is co-expressed with epithelial markers such as E-cadherin and is required for the complete separation of the lens vesicle from the head ectoderm during early ocular morphogenesis. However the function of Sip1 after early lens morphogenesis is still unknown. Here we conditionally deleted Sip1 from the developing mouse lens shortly after lens vesicle closure leading to defects in coordinated fiber cell tip migration defective suture formation and cataract. Interestingly RNA-Sequencing analysis on Sip1 knockout lenses identified 190 differentially expressed genes all of which are distinct from previously described Sip1 target genes involved in EMT/cancer. Furthermore 34% of the upregulated genes in the Sip1 knockout lenses are normally downregulated as the lens transitions from the lens vesicle to early lens while 49% of the genes downregulated in the Sip1 knockout lenses are normally upregulated during early lens development. Overall these data imply that Sip1 plays a major role in reprogramming the lens vesicle away from a surface ectoderm cell fate towards that necessary for the development of a transparent lens and demonstrate that Sip1 regulates distinctly different sets of genes in different cellular contexts.	gene	Lens	GSM1210570,GSM1210571,GSM1210572	GSM1210573,GSM1210574,GSM1210575	2017-01-04 00:12:57			gene	GPL13112	GSE49949	Mus musculus	Knockout		Sip1
